finish,start,qual_speed,car_num,driver,car_name,model,status,laps,led,winnings,year
9,15,228.557,9,Jeff Ward,Target Chip Ganassi Racing,G Force/Chevrolet,166.383,200,0,308815,2002
10,14,228.671,6,Gil de Ferran,Marlboro Team Penske,Dallara/Chevrolet,166.061,200,13,293165,2002
11,21,227.24,22,Kenny Brack,Target Chip Ganassi Racing,G Force/Chevrolet,165.995,200,0,188315,2002
12,12,229.058,7,Al Unser Jr.,Corteco/Bryant,Dallara/Chevrolet,Running,199,1,288765,2002
13,30,227.76,14,Airton Daré,Harrah's A.J. Foyt Racing,Dallara/Chevrolet,Running,199,0,281815,2002
14,24,228.848,55,Arie Luyendyk,Meijer,G Force/Chevrolet,Running,199,0,338815,2002
15,20,227.495,91,Buddy Lazier,Coors Light/Life Fitness/Tae-Bo/Delta Faucet,Dallara/Chevrolet,Accident,198,0,277615,2002
16,2,231.033,24,Robbie Buhl,Team Purex/Aventis/Dreyer & Reinbold Racing,G Force/Infiniti,Running,198,0,288315,2002
17,32,227.15,30,George Mack,310 Racing,G Force/Chevrolet,Running,198,0,283565,2002
18,23,226.589,98,Billy Boat,CURB Records,Dallara/Chevrolet,Running,198,0,286315,2002
19,28,228.177,27,Dario Franchitti,Team Green 7-Eleven,Dallara/Chevrolet,Running,197,0,153565,2002
20,27,228.192,12,Shigeaki Hattori,Epson,Dallara/Infiniti,Running,197,0,161565,2002
21,3,230.613,2,Raul Boesel,Menards/Johns Manville,Dallara/Chevrolet,Running,197,0,268315,2002
22,16,228.106,34,Laurent Redon,Mi-Jack,Dallara/Infiniti,Accident,197,0,256565,2002
23,18,227.941,53,Max Papis,Red Bull Cheever Racing,Dallara/Infiniti,Running,196,0,153565,2002
24,9,229.439,23,Sarah Fisher,Team Allegra/Dreyer & Reinbold Racing,G Force/Infiniti,Running,196,0,163315,2002
25,7,229.585,4,Sam Hornish Jr.,Pennzoil Panther,Dallara/Chevrolet,Running,186,0,253815,2002
26,10,229.058,52,Tomas Scheckter,Red Bull Cheever Racing,Dallara/Infiniti,Accident,172,85,294815,2002
27,8,229.486,8,Scott Sharp,Delphi,Dallara/Chevrolet,Accident,137,3,255665,2002
28,5,230.253,17,Tony Kanaan,Hollywood Mo Nunn Racing,G Force/Chevrolet,Accident,89,23,167665,2002
29,17,228.039,5,Rick Treadway,Sprint/Kyocera Wireless/Airlink Enterprises,G Force/Chevrolet,Accident,88,0,147565,2002
30,19,227.743,19,Jimmy Vasser,Miller Lite/Rahal Letterman Racing,Dallara/Chevrolet,Gearbox,87,0,151315,2002
31,1,231.342,33,Bruno Junqueira,Target Chip Ganassi Racing,G Force/Chevrolet,Gearbox,87,32,282715,2002
32,33,227.096,99,Mark Dismore,Grill 2 Go Sam Schmidt Motorsports,Dallara/Chevrolet,Handling,58,0,145315,2002
33,31,227.155,11,Greg Ray,AJ Foyt Racing/Harrah's,Dallara/Chevrolet,Accident,28,0,245315,2002
1,10,228.633,6,Gil de Ferran,Marlboro Team Penske,Panoz G Force/Toyota,156.291,200,31,1353265,2003
2,1,231.725,3,Helio Castroneves,Marlboro Team Penske,Dallara/Toyota,156.287,200,58,739665,2003
3,2,231.006,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,156.274,200,2,486465,2003
4,12,227.769,10,Tomas Scheckter,Target Chip Ganassi Racing,Panoz G Force/Toyota,156.268,200,63,448415,2003
5,7,229.358,12,Tora Takagi,Pioneer Mo Nunn Racing,Panoz G Force/Toyota,156.264,200,2,363515,2003
6,25,227.274,20,Alex Barron,Meijer Mo Nunn Racing,Panoz G Force/Toyota,156.209,200,0,297265,2003
7,8,228.765,32,Tony Renna,Cure Autism Now/HomeMed,Dallara/Toyota,156.189,200,0,206315,2003
8,14,227.288,13,Greg Ray,TrimSpa,Panoz G Force/Honda,156.134,200,0,299065,2003
9,17,226.285,31,Al Unser Jr.,Corteco,Dallara/Toyota,156.055,200,0,296565,2003
10,11,228.577,55,Roger Yasukawa,Panasonic ARTA,Dallara/Honda,155.32,199,0,288815,2003
11,19,226.213,52,Buddy Rice,Red Bull Cheever Racing,Dallara/Chevrolet,Running,199,0,323315,2003
12,26,227.158,22,Vitor Meira,Metabolife/Johns Manville/Menards,Dallara/Chevrolet,Running,199,0,192315,2003
13,32,224.195,18,Jimmy Kite,Denny Hecker's Auto Connection,Dallara/Chevrolet,Running,197,0,273565,2003
14,15,227.222,54,Shinji Nakano,Beard Papa's,Dallara/Honda,Running,196,0,269315,2003
15,18,226.225,4,Sam Hornish Jr.,Pennzoil Panther,Dallara/Chevrolet,Engine,195,0,271065,2003
16,6,229.509,15,Kenny Brack,Rahal/Letterman/Miller Lite/Pioneer,Dallara/Honda,Running,195,0,271065,2003
17,4,230.099,9,Scott Dixon,Target Chip Ganassi Racing,Panoz G Force/Toyota,Accident,191,15,304315,2003
18,23,224.177,14,A.J. Foyt IV,Conseco/A.J. Foyt Racing,Dallara/Toyota,Running,189,0,264315,2003
19,5,229.958,26,Dan Wheldon,Klein Tools/Jim Beam,Dallara/Honda,Accident,186,0,161815,2003
20,9,228.755,8,Scott Sharp,Delphi,Dallara/Toyota,Accident,181,0,257815,2003
21,21,224.91,91,Buddy Lazier,Victory Brand/Delta Faucet/Life Fitness,Dallara/Chevrolet,Engine,171,0,276065,2003
22,3,230.205,27,Robby Gordon,Archipelago/Motorola,Dallara/Honda,Gearbox,169,0,256250,2003
23,22,224.369,24,Robbie Buhl,Purex/Aventis/Dreyer & Reinbold,Dallara/Chevrolet,Engine,147,0,252065,2003
24,33,223.609,41,Airton Daré,Conseco A.J. Foyt Racing,Panoz G Force/Toyota,Accident,125,0,166065,2003
25,31,224.493,44,Robby McGehee,Pedigo Chevrolet Panther Racing,Dallara/Chevrolet,Steering,125,0,151565,2003
26,27,226.873,19,Jimmy Vasser,Argent Rahal/Letterman Racing,Dallara/Honda,Gearbox,102,1,161265,2003
27,13,227.739,7,Michael Andretti,Team 7-Eleven,Dallara/Honda,Throttle linkage,94,28,259415,2003
28,28,225.863,99,Richie Hearn,Contour Hardening/Curb Agajanian/SSM,Panoz G Force/Toyota,Accident,61,0,142565,2003
29,20,225.975,2,Jaques Lazier,Menards/Johns Manville,Dallara/Chevrolet,Accident,61,0,240315,2003
30,30,224.589,5,Shigeaki Hattori,Epson/A.J. Foyt Racing,Dallara/Toyota,Fuel System,19,0,240065,2003
31,24,224.17,23,Sarah Fisher,AOL/GMAC/Raybestos/DRR,Dallara/Chevrolet,Engine/accident,14,0,244065,2003
32,29,225.598,98,Billy Boat,Pedigo Chevrolet Panther Racing,Dallara/Chevrolet,Engine,7,0,139065,2003
33,16,227.21,21,Felipe Giaffone,Hollywood Mo Nunn Racing,Panoz G Force/Toyota,Electrical,6,0,242815,2003
1,1,222.024,15,Buddy Rice,Rahal-Letterman Argent/Pioneer,Panoz G Force/Honda,138.518,180,91,1761740,2004
2,5,221.2,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,138.516,180,28,659240,2004
3,2,221.524,26,Dan Wheldon,Klein Tools/Jim Beam,Dallara/Honda,138.491,180,26,533040,2004
4,23,219.871,7,Bryan Herta,XM Satellite Radio,Dallara/Honda,138.489,180,3,366440,2004
5,4,221.379,36,Bruno Junqueira,PacifiCare/Secure Horizons,Panoz G Force/Honda,138.474,180,16,296240,2004
6,7,220.958,17,Vitor Meira,Rahal-Letterman Team Centrix,Panoz G Force/Honda,138.463,180,0,301240,2004
7,6,220.999,5,Adrian Fernandez,Quaker State Telmex Tecate,Panoz G Force/Honda,138.459,180,3,294740,2004
8,13,219.319,1,Scott Dixon,Target Chip Ganassi Racing,Panoz G Force/Toyota,138.431,180,0,283740,2004
9,8,222.882,3,Helio Castroneves,Marlboro Team Penske,Dallara/Toyota,138.414,180,0,311990,2004
10,12,220.03,16,Roger Yasukawa,Rahal-Letterman Racing Sammy,Panoz G Force/Honda,138.401,180,0,261740,2004
11,9,220.74,55,Kosuke Matsuura,Panasonic ARTA,Panoz G Force/Honda,138.386,180,0,294740,2004
12,24,218.836,51,Alex Barron,Red Bull Cheever Racing,Dallara/Chevrolet,138.325,180,3,269240,2004
13,20,215.635,8,Scott Sharp,Delphi,Dallara/Toyota,138.309,180,0,253990,2004
14,3,221.471,27,Dario Franchitti,Arca/Ex,Dallara/Honda,138.297,180,1,255740,2004
15,25,216.259,24,Felipe Giaffone,Team Purex/Dreyer & Reinbold,Dallara/Chevrolet,Running,179,0,249490,2004
16,29,214.783,21,Jeff Simmons,Pioneer Mo Nunn Racing,Dallara/Toyota,Running,179,0,224990,2004
17,17,217.966,20,Al Unser Jr.,Patrick Racing,Dallara/Chevrolet,Running,179,0,220740,2004
18,10,220.417,4,Tomas Scheckter,Pennzoil Panther,Dallara/Chevrolet,Running,179,0,234240,2004
19,26,214.364,12,Tora Takagi,Pioneer Mo Nunn Racing,Dallara/Toyota,Running,179,0,230740,2004
20,30,213.715,33,Richie Hearn,Lucas Oil Products/Sam Schmidt,Panoz G Force/Toyota,Running,178,0,207740,2004
21,19,215.771,39,Sarah Fisher,Bryant Heating & Cooling/Cure Autism Now,Dallara/Toyota,Running,177,0,208740,2004
22,33,211.631,18,Robby McGehee,Burger King Angus Steak Burger PDM,Dallara/Chevrolet,Running,177,0,202740,2004
23,28,215.11,91,Buddy Lazier,LifeFitness DRR/Hemelgarn Racing,Dallara/Chevrolet,Fuel system,164,0,212240,2004
24,32,211.974,25,Marty Roth,Roth Racing,Dallara/Toyota,Accident,128,0,203990,2004
25,15,219.271,10,Darren Manning,Target Chip Ganassi Racing,G Force/Toyota,Accident,104,0,227490,2004
26,11,220.18,6,Sam Hornish Jr.,Marlboro Team Penske,Dallara/Toyota,Accident,104,9,223240,2004
27,27,216.641,13,Greg Ray,Access Motorsports,G Force/Honda,Accident,98,0,239735,2004
28,31,213.355,98,PJ Jones,CURB Records,Dallara/Chevrolet,Accident,92,0,195490,2004
29,18,216.522,70,Robby Gordon,Meijer/Coca-Cola Robby Gordon,Dallara/Chevrolet,Mechanical,88,0,192420,2004
30,14,219.282,2,Mark Taylor,Menards/Johns Manville Racing,Dallara/Chevrolet,Accident,62,0,211990,2004
31,16,218.59,52,Ed Carpenter,Red Bull Cheever Racing,Dallara/Chevrolet,Accident,62,0,212485,2004
32,22,213.277,41,Larry Foyt,A.J. Foyt Racing,G Force/Toyota,Accident,54,0,192485,2004
33,21,214.256,14,A.J. Foyt IV,Conseco/A.J. Foyt Racing,Dallara/Toyota,Handling,26,0,215735,2004
1,16,224.308,26,Dan Wheldon,Klein Tools/Jim Beam,Dallara/Honda,157.603,200,30,1537805,2005
2,7,226.848,17,Vitor Meira,Rahal Letterman Menards Johns Manville,Panoz/Honda,157.602,200,3,656955,2005
3,18,223.972,7,Bryan Herta,XM Satellite Radio,Dallara/Honda,157.601,200,0,457505,2005
4,4,227.004,16,Danica Patrick,Rahal Letterman Racing Argent Pioneer,Panoz/Honda,157.541,200,19,378855,2005
5,9,226.353,95,Buddy Lazier,Panther/Jonathan Byrd's/ESPN 950 AM,Dallara/Chevrolet,157.537,200,0,288805,2005
6,6,226.873,27,Dario Franchitti,ArcaEx,Dallara/Honda,157.532,200,15,309055,2005
7,3,227.126,8,Scott Sharp,Delphi,Panoz/Honda,157.526,200,0,295305,2005
8,1,227.566,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,157.516,200,54,467105,2005
9,5,226.927,3,Helio Castroneves,Marlboro Team Penske,Dallara/Toyota,157.496,200,0,277805,2005
10,24,224.08,33,Ryan Briscoe,Target Chip Ganassi Racing,Panoz/Toyota,Running,199,0,273555,2005
11,26,221.439,20,Ed Carpenter,Vision Racing,Dallara/Toyota,Running,199,0,258305,2005
12,15,224.955,37,Sebastien Bourdais,Newman Haas Racing Team Centrix,Panoz/Honda,Accident,198,0,234555,2005
13,22,221.053,51,Alex Barron,Red Bull Cheever Racing,Dallara/Toyota,Running,197,0,254805,2005
14,14,225.12,5,Adrian Fernandez,Investment Properties of America,Panoz/Honda,Running,197,0,226305,2005
15,33,217.645,48,Felipe Giaffone,A.J. Foyt Racing,Panoz/Toyota,Running,194,0,247305,2005
16,27,221.228,21,Jaques Lazier,Playa Del Racing,Panoz/Toyota,Running,189,0,219305,2005
17,8,226.397,55,Kosuke Matsuura,Panasonic ARTA,Panoz/Honda,Accident,186,0,236305,2005
18,17,224.131,24,Roger Yasukawa,Dreyer & Reinbold Racing,Dallara/Honda,Mechanical,167,0,233305,2005
19,10,226.107,2,Tomas Enge,ROCKSTAR Panther Racing,Dallara/Chevrolet,Accident,155,0,232055,2005
20,11,226.031,4,Tomas Scheckter,Pennzoil Panther,Dallara/Chevrolet,Accident,154,0,257305,2005
21,25,222.803,83,Patrick Carpentier,Red Bull Cheever Racing,Dallara/Toyota,Mechanical,153,0,231055,2005
22,21,221.521,44,Jeff Bucknum,Investment Properties of America,Dallara/Honda,Accident,150,0,222555,2005
23,2,227.273,6,Sam Hornish Jr.,Marlboro Team Penske,Dallara/Toyota,Accident,146,77,391455,2005
24,13,225.215,9,Scott Dixon,Target Chip Ganassi Racing,Panoz/Toyota,Accident,113,0,225805,2005
25,20,222.707,70,Richie Hearn,Meijer/Coca-Cola Racing Special,Panoz/Chevrolet,Accident,112,0,202305,2005
26,23,227.598,15,Kenny Brack,Rahal Letterman Racing Argent Pioneer,Panoz/Honda,Mechanical,92,0,275805,2005
27,31,218.714,22,Jeff Ward,Vision Racing,Dallara/Toyota,Handling,92,0,194805,2005
28,28,220.442,14,A.J. Foyt IV,A.J. Foyt Racing,Dallara/Toyota,Handling,84,0,218805,2005
29,19,223.943,10,Darren Manning,Target Chip Ganassi Racing,Panoz/Toyota,Mechanical,82,0,212805,2005
30,12,225.704,36,Bruno Junqueira,Newman Haas Racing Team Centrix,Panoz/Honda,Accident,76,2,192205,2005
31,29,219.497,25,Marty Roth,Roth Racing/PDM Racing,Dallara/Chevrolet,Handling,47,0,195305,2005
32,32,218.565,91,Jimmy Kite,Ethanol Hemelgarn Racing,Dallara/Toyota,Handling,47,0,210305,2005
33,30,219.396,41,Larry Foyt,ABC Supply Co.,Dallara/Toyota,Accident,14,0,189305,2005
1,1,228.985,6,Sam Hornish Jr.,Marlboro Team Penske,Dallara/Honda,157.085,200,19,1744855,2006
2,9,224.918,26,Marco Andretti,NYSE Group,Dallara/Honda,157.084,200,2,688505,2006
3,13,224.508,1,Michael Andretti,Jim Beam/Vonage,Dallara/Honda,157.071,200,4,455105,2006
4,3,227.338,10,Dan Wheldon,Target Chip Ganassi Racing,Dallara/Honda,157.068,200,148,571405,2006
5,5,226.776,11,Tony Kanaan,Team 7-Eleven,Dallara/Honda,157.063,200,12,340405,2006
6,4,226.921,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,157.043,200,6,361005,2006
7,17,223.345,27,Dario Franchitti,Klein Tools/Canadian Club,Dallara/Honda,157.008,200,0,307905,2006
8,10,224.674,16,Danica Patrick,Rahal Letterman Racing Team Argent,Panoz/Honda,157.007,200,0,285805,2006
9,8,225.321,8,Scott Sharp,Delphi,Dallara/Honda,156.933,200,0,283805,2006
10,6,226.156,4,Vitor Meira,Harrah's Panther,Dallara/Honda,156.839,200,0,267705,2006
11,12,224.548,20,Ed Carpenter,Vision Racing,Dallara/Honda,Running,199,0,264805,2006
12,25,220.922,5,Buddy Lazier,Dreyer & Reinbold Racing,Dallara/Honda,Running,199,0,274805,2006
13,19,222.028,51,Eddie Cheever Jr.,Cheever Racing,Dallara/Honda,Running,198,0,255805,2006
14,18,222.058,52,Max Papis,Cheever Racing,Dallara/Honda,Running,197,0,229305,2006
15,7,225.503,55,Kosuke Matsuura,Panasonic ARTA,Dallara/Honda,Running,196,0,247805,2006
16,28,218.793,12,Roger Yasukawa,Playa Del Racing,Panoz/Honda,Running,194,0,228805,2006
17,24,221.151,21,Jaques Lazier,Playa Del Racing,Panoz/Honda,Running,193,0,219305,2006
18,29,218.17,88,Airton Daré,OCTANE Motors/Sanitec/SSM,Panoz/Honda,Running,193,0,216805,2006
19,32,215.816,98,PJ Jones,CURB Records,Panoz/Honda,Running,189,0,214305,2006
20,16,224.179,7,Bryan Herta,XM Satellite Radio,Dallara/Honda,Running,188,0,234805,2006
21,21,221.542,14,Felipe Giaffone,ABC Supply Co./A.J. Foyt Racing,Dallara/Honda,Accident,177,0,227305,2006
22,15,224.374,90,Townsend Bell,Rock & Republic,Dallara/Honda,Suspension,161,0,204555,2006
23,26,220.347,17,Jeff Simmons,Rahal Letterman Racing Team Ethanol,Panoz/Honda,Accident,152,0,222305,2006
24,27,219.388,31,Al Unser Jr.,A1 Team USA Geico Dreyer & Reinbold,Dallara/Honda,Accident,145,0,200305,2006
25,2,228.008,3,Helio Castroneves,Marlboro Team Penske,Dallara/Honda,Accident,109,9,290355,2006
26,14,224.393,15,Buddy Rice,Rahal Letterman Racing Team Argent,Panoz/Honda,Accident,108,0,224805,2006
27,11,224.659,2,Tomas Scheckter,Vision Racing,Dallara/Honda,Accident,65,0,215305,2006
28,31,216.352,61,Arie Luyendyk Jr.,CheapCaribbean.com/Blue Star Jets,Panoz/Honda,Handling,54,0,196055,2006
29,30,217.428,97,Stephan Gregoire,Effen Vodka Team Leader Special,Panoz/Honda,Handling,49,0,193305,2006
30,23,221.332,41,Larry Foyt,AJ Foyt Racing,Dallara/Honda,Handling,43,0,192305,2006
31,33,215.729,18,Thiago Medeiros,PDM Racing,Panoz/Honda,Electrical,24,0,227555,2006
32,22,221.461,92,Jeff Bucknum,Life Fitness,Dallara/Honda,Accident,1,0,193805,2006
33,20,221.576,91,P.J. Chesson,Carmelo Hemelgarn Racing,Dallara/Honda,Accident,1,0,211555,2006
1,3,225.191,27,Dario Franchitti,Canadian Club,Dallara/Honda,151.774,166,34,1645233,2007
2,4,225.122,9,Scott Dixon,Target Chip Ganassi Racing,Dallara/Honda,151.769,166,11,719067,2007
3,1,225.817,3,Helio Castroneves,Team Penske,Dallara/Honda,151.746,166,19,646303,2007
4,5,225.109,6,Sam Hornish Jr.,Team Penske,Dallara/Honda,151.703,166,2,360389,2007
5,7,224.41,12,Ryan Briscoe,Symantec Luczo Dragon Racing,Dallara/Honda,151.649,166,0,302305,2007
6,12,223.875,8,Scott Sharp,Patron Sharp Rahal Letterman,Dallara/Honda,151.63,166,0,368305,2007
7,10,222.877,2,Tomas Scheckter,Vision Racing,Dallara/Honda,151.599,166,0,304105,2007
8,8,224.076,7,Danica Patrick,Motorola,Dallara/Honda,151.537,166,0,298005,2007
9,20,222.327,2,Davey Hamilton,HP Vision Racing,Dallara/Honda,151.502,166,0,268905,2007
10,19,222.333,4,Vitor Meira,Delphi Panther,Dallara/Honda,151.471,166,0,280305,2007
